timeStep faceId meshDensityCounting-PID4 meshDensityCounting-PID7 meshDensityCounting-PID10 meshDensityCounting-PID13 meshDensityCounting-PID16
8 6 11 9 0 0 23
8 7 11 10 0 0 0
8 8 4 12 1 0 26
8 9 13 13 0 0 25
8 10 9 14 1 0 26
8 11 3 12 3 0 26
8 12 7 12 1 0 23
8 13 3 11 1 0 23
8 14 8 13 0 0 9
8 15 4 11 1 0 6
8 16 2 9 0 0 0
8 17 8 8 0 0 18
8 18 8 16 1 0 1
8 19 NA NA NA NA 23
8 20 NA NA NA NA 0
8 21 NA NA NA NA 0
8 22 NA NA NA NA 0
8 23 NA NA NA NA 27
8 24 NA NA NA NA 30
8 25 NA NA NA NA 0
8 26 NA NA NA NA 0
8 27 NA NA NA NA 20
8 28 NA NA NA NA 14
8 29 NA NA NA NA 1
8 30 NA NA NA NA 25
8 31 NA NA NA NA 0
8 32 NA NA NA NA 24
8 33 NA NA NA NA 0
8 34 NA NA NA NA 25
8 35 NA NA NA NA 0
8 36 NA NA NA NA 20
8 37 NA NA NA NA 0
8 38 NA NA NA NA 0
8 39 NA NA NA NA 0
8 40 NA NA NA NA 0
8 41 NA NA NA NA 0
8 42 NA NA NA NA 0
8 43 NA NA NA NA 0
8 44 NA NA NA NA 0
8 45 NA NA NA NA 0
8 46 NA NA NA NA 0
8 47 NA NA NA NA 0
8 48 NA NA NA NA 0
8 49 NA NA NA NA 0
8 50 NA NA NA NA 0
8 51 NA NA NA NA 0
8 52 NA NA NA NA 0
8 53 NA NA NA NA 0
8 54 NA NA NA NA 1
8 55 NA NA NA NA 11
8 56 NA NA NA NA 22
8 57 NA NA NA NA 16
8 58 NA NA NA NA 24
8 59 NA NA NA NA 0
8 60 NA NA NA NA 24
8 61 NA NA NA NA 28
8 62 NA NA NA NA 23
8 63 NA NA NA NA 28
8 64 NA NA NA NA 26
8 65 NA NA NA NA 10
8 66 NA NA NA NA 23
8 67 NA NA NA NA 14
8 68 NA NA NA NA 26
8 69 NA NA NA NA 12
8 70 NA NA NA NA 29
8 71 NA NA NA NA 28
8 72 NA NA NA NA 21
8 73 NA NA NA NA 4
8 74 NA NA NA NA 19
8 75 NA NA NA NA 23
8 76 NA NA NA NA 26
8 77 NA NA NA NA 23
8 78 NA NA NA NA 19
8 79 NA NA NA NA 7
8 80 NA NA NA NA 7
9 1 9 17 0 0 12
9 2 10 10 0 0 26
9 3 11 13 0 0 0
9 4 11 14 0 0 23
9 5 10 11 0 0 27
9 6 11 10 0 0 23
9 7 11 8 0 0 0
9 8 3 10 2 0 22
9 9 15 15 0 0 31
9 10 7 14 1 0 24
9 11 2 14 4 0 29
9 12 6 9 3 0 25
9 13 3 12 3 0 23
9 14 7 12 0 0 12
9 15 4 14 3 0 9
9 16 1 10 0 0 0
9 17 10 8 0 0 17
9 18 9 14 1 0 2
9 19 NA NA NA NA 26
9 20 NA NA NA NA 0
9 21 NA NA NA NA 0
9 22 NA NA NA NA 0
9 23 NA NA NA NA 28
9 24 NA NA NA NA 24
9 25 NA NA NA NA 0
9 26 NA NA NA NA 0
9 27 NA NA NA NA 22
9 28 NA NA NA NA 15
9 29 NA NA NA NA 2
9 30 NA NA NA NA 20
9 31 NA NA NA NA 0
9 32 NA NA NA NA 23
9 33 NA NA NA NA 0
9 34 NA NA NA NA 26
9 35 NA NA NA NA 0
9 36 NA NA NA NA 23
9 37 NA NA NA NA 0
9 38 NA NA NA NA 0
9 39 NA NA NA NA 0
9 40 NA NA NA NA 0
9 41 NA NA NA NA 0
9 42 NA NA NA NA 0
9 43 NA NA NA NA 0
9 44 NA NA NA NA 0
9 45 NA NA NA NA 0
9 46 NA NA NA NA 0
9 47 NA NA NA NA 0
9 48 NA NA NA NA 0
9 49 NA NA NA NA 0
9 50 NA NA NA NA 0
9 51 NA NA NA NA 0
9 52 NA NA NA NA 0
9 53 NA NA NA NA 0
9 54 NA NA NA NA 2
9 55 NA NA NA NA 11
9 56 NA NA NA NA 21
9 57 NA NA NA NA 18
9 58 NA NA NA NA 25
9 59 NA NA NA NA 0
9 60 NA NA NA NA 26
9 61 NA NA NA NA 25
9 62 NA NA NA NA 24
9 63 NA NA NA NA 27
9 64 NA NA NA NA 25
9 65 NA NA NA NA 9
9 66 NA NA NA NA 22
9 67 NA NA NA NA 13
9 68 NA NA NA NA 25
9 69 NA NA NA NA 11
9 70 NA NA NA NA 28
9 71 NA NA NA NA 28
9 72 NA NA NA NA 17
9 73 NA NA NA NA 3
9 74 NA NA NA NA 18
9 75 NA NA NA NA 26
9 76 NA NA NA NA 26
9 77 NA NA NA NA 20
9 78 NA NA NA NA 22
9 79 NA NA NA NA 8
9 80 NA NA NA NA 6
10 1 11 17 0 0 13
10 2 9 9 0 0 23
10 3 11 13 0 0 0
10 4 12 13 0 0 24
10 5 10 10 0 0 27
10 6 11 8 0 0 23
10 7 10 10 0 0 0
10 8 4 8 3 0 23
10 9 13 14 0 0 30
10 10 6 17 2 0 25
10 11 2 12 3 0 27
10 12 6 13 4 0 25
10 13 1 11 4 0 23
